architecture,optimal_sigma,task,implant_type,model_type,accuracy
ConvNeXt Base,8.204616140632437,doorway,12_10,pointy,0.8457618402777778
ConvNeXt Base,8.204616140632437,doorway,12_10,streaky,0.8459753125
ConvNeXt Base,8.204616140632437,doorway,12_20,pointy,0.844425138888889
ConvNeXt Base,8.204616140632437,doorway,12_20,streaky,0.8417538541666667
ConvNeXt Base,8.204616140632437,doorway,6_10,pointy,0.8468496527777779
ConvNeXt Base,8.204616140632437,doorway,6_10,streaky,0.8451929861111112
ConvNeXt Base,8.204616140632437,doorway,6_15,pointy,0.8387897916666667
ConvNeXt Base,8.204616140632437,doorway,6_15,streaky,0.8477283333333332
ConvNeXt Base,8.204616140632437,doorway,6_20,pointy,0.8379915625000001
ConvNeXt Base,8.204616140632437,doorway,6_20,streaky,0.8465240972222222
ConvNeXt Base,8.204616140632437,doorway,9_10,pointy,0.8463890277777777
ConvNeXt Base,8.204616140632437,doorway,9_10,streaky,0.8445139583333333
ConvNeXt Large,8.465098005399398,doorway,12_10,pointy,0.8450130555555557
ConvNeXt Large,8.465098005399398,doorway,12_10,streaky,0.8512991666666666
ConvNeXt Large,8.465098005399398,doorway,12_20,pointy,0.8414193402777779
ConvNeXt Large,8.465098005399398,doorway,12_20,streaky,0.8435445486111112
ConvNeXt Large,8.465098005399398,doorway,6_10,pointy,0.8426008333333334
ConvNeXt Large,8.465098005399398,doorway,6_10,streaky,0.8436901736111112
ConvNeXt Large,8.465098005399398,doorway,6_15,pointy,0.8353461805555555
ConvNeXt Large,8.465098005399398,doorway,6_15,streaky,0.8435447222222221
ConvNeXt Large,8.465098005399398,doorway,6_20,pointy,0.8395992708333333
ConvNeXt Large,8.465098005399398,doorway,6_20,streaky,0.8437142361111111
ConvNeXt Large,8.465098005399398,doorway,9_10,pointy,0.845510625
ConvNeXt Large,8.465098005399398,doorway,9_10,streaky,0.849475173611111
ConvNeXt Small,9.451077959243602,doorway,12_10,pointy,0.8477235069444445
ConvNeXt Small,9.451077959243602,doorway,12_10,streaky,0.8475272916666668
ConvNeXt Small,9.451077959243602,doorway,12_20,pointy,0.8505464583333333
ConvNeXt Small,9.451077959243602,doorway,12_20,streaky,0.8480859374999999
ConvNeXt Small,9.451077959243602,doorway,6_10,pointy,0.8438619097222222
ConvNeXt Small,9.451077959243602,doorway,6_10,streaky,0.845536875
ConvNeXt Small,9.451077959243602,doorway,6_15,pointy,0.8387354166666668
ConvNeXt Small,9.451077959243602,doorway,6_15,streaky,0.8462307291666666
ConvNeXt Small,9.451077959243602,doorway,6_20,pointy,0.8380313541666666
ConvNeXt Small,9.451077959243602,doorway,6_20,streaky,0.8434696180555555
ConvNeXt Small,9.451077959243602,doorway,9_10,pointy,0.8438674305555555
ConvNeXt Small,9.451077959243602,doorway,9_10,streaky,0.8431073263888889
ConvNeXt Tiny,9.025092807356211,doorway,12_10,pointy,0.8456707291666665
ConvNeXt Tiny,9.025092807356211,doorway,12_10,streaky,0.8467687152777778
ConvNeXt Tiny,9.025092807356211,doorway,12_20,pointy,0.8451889236111111
ConvNeXt Tiny,9.025092807356211,doorway,12_20,streaky,0.849395138888889
ConvNeXt Tiny,9.025092807356211,doorway,6_10,pointy,0.8452531250000002
ConvNeXt Tiny,9.025092807356211,doorway,6_10,streaky,0.8490293055555556
ConvNeXt Tiny,9.025092807356211,doorway,6_15,pointy,0.8391198958333332
ConvNeXt Tiny,9.025092807356211,doorway,6_15,streaky,0.8430546527777778
ConvNeXt Tiny,9.025092807356211,doorway,6_20,pointy,0.83690625
ConvNeXt Tiny,9.025092807356211,doorway,6_20,streaky,0.8447527777777777
ConvNeXt Tiny,9.025092807356211,doorway,9_10,pointy,0.8452561805555556
ConvNeXt Tiny,9.025092807356211,doorway,9_10,streaky,0.8458676388888888
DINOv3 ViT Base,7.39323001629135,doorway,12_10,pointy,0.8563676388888888
DINOv3 ViT Base,7.39323001629135,doorway,12_10,streaky,0.8573422569444444
DINOv3 ViT Base,7.39323001629135,doorway,12_20,pointy,0.8555203125
DINOv3 ViT Base,7.39323001629135,doorway,12_20,streaky,0.845820138888889
DINOv3 ViT Base,7.39323001629135,doorway,6_10,pointy,0.8509030555555555
DINOv3 ViT Base,7.39323001629135,doorway,6_10,streaky,0.8627207986111112
DINOv3 ViT Base,7.39323001629135,doorway,6_15,pointy,0.8496365972222222
DINOv3 ViT Base,7.39323001629135,doorway,6_15,streaky,0.8625651388888889
DINOv3 ViT Base,7.39323001629135,doorway,6_20,pointy,0.7603883333333333
DINOv3 ViT Base,7.39323001629135,doorway,6_20,streaky,0.8450436458333334
DINOv3 ViT Base,7.39323001629135,doorway,9_10,pointy,0.8382788541666667
DINOv3 ViT Base,7.39323001629135,doorway,9_10,streaky,0.8538184375
ResNet18,5.146898180107886,doorway,12_10,pointy,0.8461729861111111
ResNet18,5.146898180107886,doorway,12_10,streaky,0.8488419444444446
ResNet18,5.146898180107886,doorway,12_20,pointy,0.8392274652777779
ResNet18,5.146898180107886,doorway,12_20,streaky,0.8378569444444445
ResNet18,5.146898180107886,doorway,6_10,pointy,0.8482406944444444
ResNet18,5.146898180107886,doorway,6_10,streaky,0.8504703125
ResNet18,5.146898180107886,doorway,6_15,pointy,0.8406557638888887
ResNet18,5.146898180107886,doorway,6_15,streaky,0.8414339583333333
ResNet18,5.146898180107886,doorway,6_20,pointy,0.8414076041666666
ResNet18,5.146898180107886,doorway,6_20,streaky,0.8416589583333332
ResNet18,5.146898180107886,doorway,9_10,pointy,0.8482658680555556
ResNet18,5.146898180107886,doorway,9_10,streaky,0.8484622569444443
ResNet50,5.716067918810851,doorway,12_10,pointy,0.8458884375
ResNet50,5.716067918810851,doorway,12_10,streaky,0.8459515277777777
ResNet50,5.716067918810851,doorway,12_20,pointy,0.8398325694444445
ResNet50,5.716067918810851,doorway,12_20,streaky,0.8381222569444446
ResNet50,5.716067918810851,doorway,6_10,pointy,0.8509121875
ResNet50,5.716067918810851,doorway,6_10,streaky,0.8511598611111111
ResNet50,5.716067918810851,doorway,6_15,pointy,0.8425083333333333
ResNet50,5.716067918810851,doorway,6_15,streaky,0.8426493055555555
ResNet50,5.716067918810851,doorway,6_20,pointy,0.8366630555555556
ResNet50,5.716067918810851,doorway,6_20,streaky,0.8367766319444445
ResNet50,5.716067918810851,doorway,9_10,pointy,0.8464262499999998
ResNet50,5.716067918810851,doorway,9_10,streaky,0.8473536111111113
VGG11,12.06118566549164,doorway,12_10,pointy,0.8475127777777779
VGG11,12.06118566549164,doorway,12_10,streaky,0.8487641319444444
VGG11,12.06118566549164,doorway,12_20,pointy,0.841274375
VGG11,12.06118566549164,doorway,12_20,streaky,0.8434275694444444
VGG11,12.06118566549164,doorway,6_10,pointy,0.8440878125
VGG11,12.06118566549164,doorway,6_10,streaky,0.8452394444444444
VGG11,12.06118566549164,doorway,6_15,pointy,0.8400124999999999
