architecture,optimal_k,task,implant_type,model_type,accuracy
ConvNeXt Base,14.394646125494171,doorway,12_10,pointy,0.8602490972222222
ConvNeXt Base,14.394646125494171,doorway,12_10,streaky,0.8200732986111111
ConvNeXt Base,14.394646125494171,doorway,12_20,pointy,0.8509112152777778
ConvNeXt Base,14.394646125494171,doorway,12_20,streaky,0.8491004166666667
ConvNeXt Base,14.394646125494171,doorway,6_10,pointy,0.8733271527777777
ConvNeXt Base,14.394646125494171,doorway,6_10,streaky,0.8199675347222224
ConvNeXt Base,14.394646125494171,doorway,6_15,pointy,0.8332253472222222
ConvNeXt Base,14.394646125494171,doorway,6_15,streaky,0.8380454513888889
ConvNeXt Base,14.394646125494171,doorway,6_20,pointy,0.840876423611111
ConvNeXt Base,14.394646125494171,doorway,6_20,streaky,0.8698334722222223
ConvNeXt Base,14.394646125494171,doorway,9_10,pointy,0.8631469097222222
ConvNeXt Base,14.394646125494171,doorway,9_10,streaky,0.8367462152777778
ConvNeXt Large,12.976691425385294,doorway,12_10,pointy,0.8331900347222222
ConvNeXt Large,12.976691425385294,doorway,12_10,streaky,0.8484024305555555
ConvNeXt Large,12.976691425385294,doorway,12_20,pointy,0.8475390972222223
ConvNeXt Large,12.976691425385294,doorway,12_20,streaky,0.8248716319444445
ConvNeXt Large,12.976691425385294,doorway,6_10,pointy,0.8439637847222222
ConvNeXt Large,12.976691425385294,doorway,6_10,streaky,0.8531075694444444
ConvNeXt Large,12.976691425385294,doorway,6_15,pointy,0.833929201388889
ConvNeXt Large,12.976691425385294,doorway,6_15,streaky,0.8363957638888888
ConvNeXt Large,12.976691425385294,doorway,6_20,pointy,0.8429030902777779
ConvNeXt Large,12.976691425385294,doorway,6_20,streaky,0.855436875
ConvNeXt Large,12.976691425385294,doorway,9_10,pointy,0.8647197222222222
ConvNeXt Large,12.976691425385294,doorway,9_10,streaky,0.8594637500000001
ConvNeXt Small,10.782430155829791,doorway,12_10,pointy,0.8796967708333334
ConvNeXt Small,10.782430155829791,doorway,12_10,streaky,0.8714025
ConvNeXt Small,10.782430155829791,doorway,12_20,pointy,0.9040560069444445
ConvNeXt Small,10.782430155829791,doorway,12_20,streaky,0.8409525694444445
ConvNeXt Small,10.782430155829791,doorway,6_10,pointy,0.822329375
ConvNeXt Small,10.782430155829791,doorway,6_10,streaky,0.8631477083333333
ConvNeXt Small,10.782430155829791,doorway,6_15,pointy,0.818905590277778
ConvNeXt Small,10.782430155829791,doorway,6_15,streaky,0.8380396180555556
ConvNeXt Small,10.782430155829791,doorway,6_20,pointy,0.8039647569444444
ConvNeXt Small,10.782430155829791,doorway,6_20,streaky,0.7955300347222222
ConvNeXt Small,10.782430155829791,doorway,9_10,pointy,0.8741023958333333
ConvNeXt Small,10.782430155829791,doorway,9_10,streaky,0.8293506944444445
ConvNeXt Tiny,10.379141755445444,doorway,12_10,pointy,0.886012986111111
ConvNeXt Tiny,10.379141755445444,doorway,12_10,streaky,0.8469946527777779
ConvNeXt Tiny,10.379141755445444,doorway,12_20,pointy,0.8317426736111111
ConvNeXt Tiny,10.379141755445444,doorway,12_20,streaky,0.8387617361111112
ConvNeXt Tiny,10.379141755445444,doorway,6_10,pointy,0.8322606597222221
ConvNeXt Tiny,10.379141755445444,doorway,6_10,streaky,0.8431216666666665
ConvNeXt Tiny,10.379141755445444,doorway,6_15,pointy,0.8156486111111111
ConvNeXt Tiny,10.379141755445444,doorway,6_15,streaky,0.8555335069444444
ConvNeXt Tiny,10.379141755445444,doorway,6_20,pointy,0.8354008333333333
ConvNeXt Tiny,10.379141755445444,doorway,6_20,streaky,0.837268263888889
ConvNeXt Tiny,10.379141755445444,doorway,9_10,pointy,0.8609887152777776
ConvNeXt Tiny,10.379141755445444,doorway,9_10,streaky,0.8380785069444444
DINOv3 ViT Base,35.184097629075346,doorway,12_10,pointy,0.8192318402777777
DINOv3 ViT Base,35.184097629075346,doorway,12_10,streaky,0.8946118402777777
DINOv3 ViT Base,35.184097629075346,doorway,12_20,pointy,0.853869826388889
DINOv3 ViT Base,35.184097629075346,doorway,12_20,streaky,0.9267530555555554
DINOv3 ViT Base,35.184097629075346,doorway,6_10,pointy,0.7554491319444444
DINOv3 ViT Base,35.184097629075346,doorway,6_10,streaky,0.87502125
DINOv3 ViT Base,35.184097629075346,doorway,6_15,pointy,0.7284519097222222
DINOv3 ViT Base,35.184097629075346,doorway,6_15,streaky,0.8845779166666666
DINOv3 ViT Base,35.184097629075346,doorway,6_20,pointy,0.5319316319444446
