architecture,method,r,p,se
ConvNeXt Base,full_model,0.7543319768000055,3.5449601489104323e-06,0.018033964714209046
ConvNeXt Base,head_model,0.8735200816456302,1.3036028372211347e-09,0.017744597835479242
ConvNeXt Large,full_model,0.7522366302709282,3.907386707315021e-06,0.018127218888701602
ConvNeXt Large,head_model,0.8809103187666807,6.224726452541523e-10,0.016688407738760333
ConvNeXt Small,full_model,0.7471034800009934,4.940087225235273e-06,0.018396719991063466
ConvNeXt Small,head_model,0.9155598261463702,8.722236358167669e-12,0.0161549628929724
ConvNeXt Tiny,full_model,0.7372111172117042,7.645984321117723e-06,0.01837052819451424
ConvNeXt Tiny,head_model,0.8928573278608798,1.689174844847447e-10,0.015246555841216031
DINOv3 ViT Base,full_model,0.8549624851741042,6.924485057020901e-09,0.015798781378811293
DINOv3 ViT Base,head_model,0.8961593881907111,1.1463345758076076e-10,0.01634448430384858
ResNet18,full_model,0.7188756282457497,1.636668449147644e-05,0.03805738418131179
ResNet18,head_model,0.9379337010748052,1.8135976589403122e-13,0.01845664460629667
ResNet50,full_model,0.6752384155674824,8.076041671815115e-05,0.040035715228704624
ResNet50,head_model,0.9109510732686158,1.694619248215605e-11,0.02264815762224157
VGG11,full_model,0.8788342055996305,7.698324914659598e-10,0.022918704375782206
VGG11,head_model,0.9411259826847472,9.297290280632744e-14,0.018641370260018383
VGG13,full_model,0.8833628852204165,4.81825717514314e-10,0.02142763872165019
VGG13,head_model,0.929126651577279,9.677123576536282e-13,0.018572832724651277
VGG16,full_model,0.8544474442991483,7.228871937814142e-09,0.02867585746438308
VGG16,head_model,0.9404640949871946,1.0711026363037367e-13,0.01904510169186662
VGG19,full_model,0.8534620946109425,7.845425921320671e-09,0.02981167129224211
VGG19,head_model,0.941395580953058,8.772288828123273e-14,0.017698125760365165
ViT Base,full_model,0.7500915923217147,4.312607067845611e-06,0.018504294568286905
ViT Base,head_model,0.9025248908713756,5.227149305768304e-11,0.01652916372296084
ViT Large,full_model,0.7482347701020519,4.693474762835318e-06,0.018647269499659995
ViT Large,head_model,0.900902761706316,6.417204646640226e-11,0.016304252241736934
ViT Small,full_model,0.7620366944574423,2.4576952028469414e-06,0.018213605220377443
ViT Small,head_model,0.8766507447165125,9.586287549579517e-10,0.017527825903631618
