architecture,method,jaccard,se,p
human,human,0.2836580081711584,0.016394555536789614,
ConvNeXt Large,head_model,0.13082345797842446,0.004429460555963291,0.0
ConvNeXt Large,full_model,0.049071105695200595,0.006663951637385163,0.0
VGG19,head_model,0.16867840247181948,0.013257761567151428,0.0
VGG19,full_model,0.16086106479110196,0.013805083163261275,0.0
VGG16,head_model,0.16944810880979208,0.013351104475694528,0.0
VGG16,full_model,0.1547569264019888,0.013264408704638363,0.0
ConvNeXt Tiny,head_model,0.16207980327387708,0.007527689991347181,0.0
ConvNeXt Tiny,full_model,0.044951989934638524,0.006773636253718196,0.0
ResNet50,head_model,0.19876695402040193,0.010629525124356559,0.0
ResNet50,full_model,0.1998410130025743,0.01750473302118525,0.0
VGG13,head_model,0.1647708245968058,0.012578163551473572,0.0
VGG13,full_model,0.12329711762198942,0.010221304725872295,0.0
ResNet18,head_model,0.2120189466171784,0.011245556912794835,0.0
ResNet18,full_model,0.1951474781283633,0.01741020611438275,0.0
ViT Small,head_model,0.12396224165963089,0.010032570894708794,0.0
ViT Small,full_model,0.053499652569333436,0.006279099335272566,0.0
ConvNeXt Small,head_model,0.14875389363044222,0.00735013164161932,0.0
ConvNeXt Small,full_model,0.04483902417812686,0.0064106670332405545,0.0011
ViT Large,head_model,0.12370983838922944,0.010140535335169435,0.0
ViT Large,full_model,0.05283293912155807,0.006882605251243387,0.0
VGG11,head_model,0.17456511209879863,0.012499929174802022,0.0
VGG11,full_model,0.13197331003218496,0.01108398484731863,0.0
ViT Base,head_model,0.12179518591129555,0.009974119149558073,0.0
ViT Base,full_model,0.050327772200241774,0.006671558217668608,0.0
DINOv3 ViT Base,head_model,0.11823381539855589,0.00980623058702664,0.0
DINOv3 ViT Base,full_model,0.09953099379582471,0.00769055394036396,0.0
ConvNeXt Base,head_model,0.16425719137269523,0.005635379734185085,0.0
ConvNeXt Base,full_model,0.04608004776087505,0.006220858818707769,0.0005
