task,architecture,implant_type,model_type,sigma
doorway,ConvNeXt Base,12_10,pointy,0.536691137518361
doorway,ConvNeXt Base,12_10,streaky,0.6348403002221696
doorway,ConvNeXt Base,12_20,pointy,0.5550952108829817
doorway,ConvNeXt Base,12_20,streaky,0.5528088499071304
doorway,ConvNeXt Base,6_10,pointy,0.5101901170714458
doorway,ConvNeXt Base,6_10,streaky,0.6333966424347681
doorway,ConvNeXt Base,6_15,pointy,0.5834222430716164
doorway,ConvNeXt Base,6_15,streaky,0.5926142560619361
doorway,ConvNeXt Base,6_20,pointy,0.5629665879173912
doorway,ConvNeXt Base,6_20,streaky,0.5172861256494714
doorway,ConvNeXt Base,9_10,pointy,0.5316328918397966
doorway,ConvNeXt Base,9_10,streaky,0.588447135508658
doorway,ConvNeXt Large,12_10,pointy,0.6848511655323216
doorway,ConvNeXt Large,12_10,streaky,0.6605431046491099
doorway,ConvNeXt Large,12_20,pointy,0.6357781059685643
doorway,ConvNeXt Large,12_20,streaky,0.705006107508556
doorway,ConvNeXt Large,6_10,pointy,0.6489334470379976
doorway,ConvNeXt Large,6_10,streaky,0.6269082589549233
doorway,ConvNeXt Large,6_15,pointy,0.6559929335706155
doorway,ConvNeXt Large,6_15,streaky,0.6723863219586332
doorway,ConvNeXt Large,6_20,pointy,0.6436775294662272
doorway,ConvNeXt Large,6_20,streaky,0.6212785827844651
doorway,ConvNeXt Large,9_10,pointy,0.6023313890620736
doorway,ConvNeXt Large,9_10,streaky,0.6259978201977787
doorway,ConvNeXt Small,12_10,pointy,0.7666180861674854
doorway,ConvNeXt Small,12_10,streaky,0.7934832530913867
doorway,ConvNeXt Small,12_20,pointy,0.6966782656460568
doorway,ConvNeXt Small,12_20,streaky,0.9034454647809814
doorway,ConvNeXt Small,6_10,pointy,0.957991028967325
doorway,ConvNeXt Small,6_10,streaky,0.8147223299615152
doorway,ConvNeXt Small,6_15,pointy,0.9525556704261546
doorway,ConvNeXt Small,6_15,streaky,0.9070028418357927
doorway,ConvNeXt Small,6_20,pointy,1.0105723187608344
doorway,ConvNeXt Small,6_20,streaky,1.0723765015298274
doorway,ConvNeXt Small,9_10,pointy,0.7728113335494189
doorway,ConvNeXt Small,9_10,streaky,0.9281355822531314
doorway,ConvNeXt Tiny,12_10,pointy,0.7332855979592099
doorway,ConvNeXt Tiny,12_10,streaky,0.8685124235238131
doorway,ConvNeXt Tiny,12_20,pointy,0.9195313306382484
doorway,ConvNeXt Tiny,12_20,streaky,0.9094606461152744
doorway,ConvNeXt Tiny,6_10,pointy,0.9179674449798538
doorway,ConvNeXt Tiny,6_10,streaky,0.8912295974691888
doorway,ConvNeXt Tiny,6_15,pointy,0.9592918964250174
doorway,ConvNeXt Tiny,6_15,streaky,0.8255072970744276
doorway,ConvNeXt Tiny,6_20,pointy,0.8746677800153665
doorway,ConvNeXt Tiny,6_20,streaky,0.8964684894829308
doorway,ConvNeXt Tiny,9_10,pointy,0.8144526491679613
doorway,ConvNeXt Tiny,9_10,streaky,0.897605370699684
doorway,DINOv3 ViT Base,12_10,pointy,0.24506116818468546
doorway,DINOv3 ViT Base,12_10,streaky,0.1794592084833318
doorway,DINOv3 ViT Base,12_20,pointy,0.2116009730842004
doorway,DINOv3 ViT Base,12_20,streaky,0.1474154517396673
doorway,DINOv3 ViT Base,6_10,pointy,0.316504731891184
doorway,DINOv3 ViT Base,6_10,streaky,0.19962548995399407
doorway,DINOv3 ViT Base,6_15,pointy,0.3584718058227344
doorway,DINOv3 ViT Base,6_15,streaky,0.19148321005480862
doorway,DINOv3 ViT Base,6_20,pointy,1.965311935145957
