percept_filename,guess,target,implant_type,model_type,subject,result,task
5100.tif,right,right,6_10,streaky,ABa,True,doorway
4973.tif,right,right,6_10,streaky,ABa,True,doorway
361.tif,right,left,6_10,streaky,ABa,False,doorway
26.tif,left,left,6_10,streaky,ABa,True,doorway
348.tif,right,left,6_10,streaky,ABa,False,doorway
23.tif,left,left,6_10,streaky,ABa,True,doorway
121.tif,left,left,6_10,streaky,ABa,True,doorway
5065.tif,left,right,6_10,streaky,ABa,False,doorway
355.tif,left,left,6_10,streaky,ABa,True,doorway
46.tif,left,left,6_10,streaky,ABa,True,doorway
111.tif,left,left,6_10,streaky,ABa,True,doorway
5073.tif,left,right,6_10,streaky,ABa,False,doorway
4996.tif,right,right,6_10,streaky,ABa,True,doorway
5000.tif,right,right,6_10,streaky,ABa,True,doorway
213.tif,left,left,6_10,streaky,ABa,True,doorway
5113.tif,left,right,6_10,streaky,ABa,False,doorway
28.tif,left,left,6_10,streaky,ABa,True,doorway
136.tif,right,left,6_10,streaky,ABa,False,doorway
5186.tif,left,right,6_10,streaky,ABa,False,doorway
215.tif,left,left,6_10,streaky,ABa,True,doorway
163.tif,left,left,6_10,streaky,ABa,True,doorway
5200.tif,left,right,6_10,streaky,ABa,False,doorway
4961.tif,right,right,6_10,streaky,ABa,True,doorway
5003.tif,right,right,6_10,streaky,ABa,True,doorway
175.tif,left,left,6_10,streaky,ABa,True,doorway
50.tif,left,left,6_10,streaky,ABa,True,doorway
4873.tif,left,right,6_10,streaky,ABa,False,doorway
5161.tif,left,right,6_10,streaky,ABa,False,doorway
5071.tif,right,right,6_10,streaky,ABa,True,doorway
5026.tif,right,right,6_10,streaky,ABa,True,doorway
40.tif,left,left,6_10,streaky,ABa,True,doorway
5048.tif,right,right,6_10,streaky,ABa,True,doorway
73.tif,left,left,6_10,streaky,ABa,True,doorway
4925.tif,left,right,6_10,streaky,ABa,False,doorway
4948.tif,left,right,6_10,streaky,ABa,False,doorway
51.tif,left,left,6_10,streaky,ABa,True,doorway
140.tif,left,left,6_10,streaky,ABa,True,doorway
5148.tif,right,right,6_10,streaky,ABa,True,doorway
4876.tif,right,right,6_10,streaky,ABa,True,doorway
5150.tif,right,right,6_10,streaky,ABa,True,doorway
5063.tif,left,right,6_10,streaky,ABa,False,doorway
5163.tif,right,right,6_10,streaky,ABa,True,doorway
4886.tif,right,right,6_10,streaky,ABa,True,doorway
261.tif,left,left,6_10,streaky,ABa,True,doorway
5138.tif,right,right,6_10,streaky,ABa,True,doorway
71.tif,left,left,6_10,streaky,ABa,True,doorway
4888.tif,right,right,6_10,streaky,ABa,True,doorway
246.tif,left,left,6_10,streaky,ABa,True,doorway
5198.tif,right,right,6_10,streaky,ABa,True,doorway
86.tif,left,left,6_10,streaky,ABa,True,doorway
198.tif,left,left,6_10,streaky,ABa,True,doorway
155.tif,left,left,6_10,streaky,ABa,True,doorway
4980.tif,right,right,6_10,streaky,ABa,True,doorway
350.tif,right,left,6_10,streaky,ABa,False,doorway
188.tif,left,left,6_10,streaky,ABa,True,doorway
273.tif,left,left,6_10,streaky,ABa,True,doorway
375.tif,left,left,6_10,streaky,ABa,True,doorway
5121.tif,left,right,6_10,streaky,ABa,False,doorway
4823.tif,right,right,6_10,streaky,ABa,True,doorway
386.tif,right,left,6_10,streaky,ABa,False,doorway
221.tif,right,left,6_10,streaky,ABa,False,doorway
4926.tif,right,right,6_10,streaky,ABa,True,doorway
5165.tif,right,right,6_10,streaky,ABa,True,doorway
53.tif,left,left,6_10,streaky,ABa,True,doorway
325.tif,right,left,6_10,streaky,ABa,False,doorway
5155.tif,right,right,6_10,streaky,ABa,True,doorway
5098.tif,right,right,6_10,streaky,ABa,True,doorway
4880.tif,right,right,6_10,streaky,ABa,True,doorway
4813.tif,right,right,6_10,streaky,ABa,True,doorway
315.tif,right,left,6_10,streaky,ABa,False,doorway
4903.tif,right,right,6_10,streaky,ABa,True,doorway
161.tif,left,left,6_10,streaky,ABa,True,doorway
390.tif,left,left,6_10,streaky,ABa,True,doorway
321.tif,left,left,6_10,streaky,ABa,True,doorway
380.tif,left,left,6_10,streaky,ABa,True,doorway
5103.tif,right,right,6_10,streaky,ABa,True,doorway
5111.tif,right,right,6_10,streaky,ABa,True,doorway
5126.tif,right,right,6_10,streaky,ABa,True,doorway
180.tif,left,left,6_10,streaky,ABa,True,doorway
4863.tif,right,right,6_10,streaky,ABa,True,doorway
378.tif,left,left,6_10,streaky,ABa,True,doorway
4828.tif,right,right,6_10,streaky,ABa,True,doorway
388.tif,right,left,6_10,streaky,ABa,False,doorway
288.tif,left,left,6_10,streaky,ABa,True,doorway
4988.tif,right,right,6_10,streaky,ABa,True,doorway
313.tif,right,left,6_10,streaky,ABa,False,doorway
4971.tif,right,right,6_10,streaky,ABa,True,doorway
5086.tif,right,right,6_10,streaky,ABa,True,doorway
365.tif,right,left,6_10,streaky,ABa,False,doorway
5076.tif,right,right,6_10,streaky,ABa,True,doorway
5025.tif,left,right,6_10,streaky,ABa,False,doorway
105.tif,left,left,6_10,streaky,ABa,True,doorway
4871.tif,right,right,6_10,streaky,ABa,True,doorway
11.tif,left,left,6_10,streaky,ABa,True,doorway
21.tif,left,left,6_10,streaky,ABa,True,doorway
4955.tif,right,right,6_10,streaky,ABa,True,doorway
5055.tif,right,right,6_10,streaky,ABa,True,doorway
4896.tif,right,right,6_10,streaky,ABa,True,doorway
4946.tif,right,right,6_10,streaky,ABa,True,doorway
61.tif,left,left,6_10,streaky,ABa,True,doorway
4978.tif,right,right,6_10,streaky,ABa,True,doorway
5036.tif,left,right,6_10,streaky,ABa,False,doorway
4826.tif,right,right,6_10,streaky,ABa,True,doorway
78.tif,left,left,6_10,streaky,ABa,True,doorway
5171.tif,right,right,6_10,streaky,ABa,True,doorway
340.tif,right,left,6_10,streaky,ABa,False,doorway
328.tif,left,left,6_10,streaky,ABa,True,doorway
400.tif,right,left,6_10,streaky,ABa,False,doorway
151.tif,left,left,6_10,streaky,ABa,True,doorway
336.tif,right,left,6_10,streaky,ABa,False,doorway
226.tif,left,left,6_10,streaky,ABa,True,doorway
5015.tif,right,right,6_10,streaky,ABa,True,doorway
4921.tif,right,right,6_10,streaky,ABa,True,doorway
223.tif,right,left,6_10,streaky,ABa,False,doorway
323.tif,right,left,6_10,streaky,ABa,False,doorway
150.tif,left,left,6_10,streaky,ABa,True,doorway
