percept_filename,guess,target,implant_type,model_type,subject,result,task
3569.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3463.tif,happy,happy,6_15,streaky,ABa,True,emotion
3386.tif,happy,happy,6_15,streaky,ABa,True,emotion
3541.tif,neutral,happy,6_15,streaky,ABa,False,emotion
3270.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3562.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3219.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3322.tif,neutral,happy,6_15,streaky,ABa,False,emotion
3584.tif,neutral,neutral,6_15,streaky,ABa,True,emotion
3516.tif,happy,happy,6_15,streaky,ABa,True,emotion
3348.tif,neutral,happy,6_15,streaky,ABa,False,emotion
3560.tif,neutral,neutral,6_15,streaky,ABa,True,emotion
3344.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3482.tif,neutral,neutral,6_15,streaky,ABa,True,emotion
3392.tif,happy,happy,6_15,streaky,ABa,True,emotion
3404.tif,happy,happy,6_15,streaky,ABa,True,emotion
3451.tif,neutral,happy,6_15,streaky,ABa,False,emotion
3578.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3464.tif,happy,happy,6_15,streaky,ABa,True,emotion
3518.tif,neutral,neutral,6_15,streaky,ABa,True,emotion
3412.tif,neutral,happy,6_15,streaky,ABa,False,emotion
3025.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3374.tif,neutral,happy,6_15,streaky,ABa,False,emotion
3360.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3034.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3498.tif,happy,happy,6_15,streaky,ABa,True,emotion
3441.tif,neutral,neutral,6_15,streaky,ABa,True,emotion
3388.tif,neutral,happy,6_15,streaky,ABa,False,emotion
3327.tif,happy,happy,6_15,streaky,ABa,True,emotion
3480.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3029.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3014.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3555.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3390.tif,neutral,neutral,6_15,streaky,ABa,True,emotion
3377.tif,happy,happy,6_15,streaky,ABa,True,emotion
3486.tif,neutral,happy,6_15,streaky,ABa,False,emotion
3436.tif,neutral,neutral,6_15,streaky,ABa,True,emotion
3431.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3522.tif,happy,happy,6_15,streaky,ABa,True,emotion
3362.tif,happy,happy,6_15,streaky,ABa,True,emotion
3221.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3241.tif,neutral,neutral,6_15,streaky,ABa,True,emotion
3406.tif,happy,happy,6_15,streaky,ABa,True,emotion
3238.tif,neutral,neutral,6_15,streaky,ABa,True,emotion
3497.tif,happy,happy,6_15,streaky,ABa,True,emotion
3188.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3231.tif,neutral,neutral,6_15,streaky,ABa,True,emotion
3266.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3033.tif,neutral,happy,6_15,streaky,ABa,False,emotion
3281.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3510.tif,happy,happy,6_15,streaky,ABa,True,emotion
3282.tif,happy,happy,6_15,streaky,ABa,True,emotion
3283.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3512.tif,happy,happy,6_15,streaky,ABa,True,emotion
3265.tif,neutral,neutral,6_15,streaky,ABa,True,emotion
3355.tif,happy,happy,6_15,streaky,ABa,True,emotion
3414.tif,happy,happy,6_15,streaky,ABa,True,emotion
3533.tif,happy,happy,6_15,streaky,ABa,True,emotion
3305.tif,neutral,neutral,6_15,streaky,ABa,True,emotion
3254.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3590.tif,happy,neutral,6_15,streaky,ABa,False,emotion
3010.tif,neutral,happy,6_15,streaky,ABa,False,emotion
3341.tif,neutral,neutral,6_15,streaky,ABa,True,emotion
