percept_filename,guess,target,implant_type,model_type,subject,result,task
35017.tif,circle,square,6_10,streaky,ABa,False,shape
39805.tif,square,circle,6_10,streaky,ABa,False,shape
34321.tif,circle,square,6_10,streaky,ABa,False,shape
38869.tif,triangle,circle,6_10,streaky,ABa,False,shape
40129.tif,triangle,circle,6_10,streaky,ABa,False,shape
39037.tif,square,circle,6_10,streaky,ABa,False,shape
39997.tif,square,circle,6_10,streaky,ABa,False,shape
10297.tif,triangle,triangle,6_10,streaky,ABa,True,shape
39841.tif,circle,circle,6_10,streaky,ABa,True,shape
2569.tif,square,circle,6_10,streaky,ABa,False,shape
39397.tif,square,circle,6_10,streaky,ABa,False,shape
2041.tif,square,circle,6_10,streaky,ABa,False,shape
34501.tif,square,square,6_10,streaky,ABa,True,shape
3049.tif,circle,circle,6_10,streaky,ABa,True,shape
10861.tif,triangle,triangle,6_10,streaky,ABa,True,shape
38845.tif,triangle,circle,6_10,streaky,ABa,False,shape
38557.tif,triangle,circle,6_10,streaky,ABa,False,shape
3001.tif,circle,circle,6_10,streaky,ABa,True,shape
2113.tif,square,circle,6_10,streaky,ABa,False,shape
35809.tif,square,square,6_10,streaky,ABa,True,shape
10657.tif,triangle,triangle,6_10,streaky,ABa,True,shape
28441.tif,circle,square,6_10,streaky,ABa,False,shape
19237.tif,circle,triangle,6_10,streaky,ABa,False,shape
18325.tif,circle,triangle,6_10,streaky,ABa,False,shape
27505.tif,circle,square,6_10,streaky,ABa,False,shape
11329.tif,triangle,triangle,6_10,streaky,ABa,True,shape
3109.tif,square,circle,6_10,streaky,ABa,False,shape
40681.tif,square,circle,6_10,streaky,ABa,False,shape
1717.tif,circle,circle,6_10,streaky,ABa,True,shape
17449.tif,circle,triangle,6_10,streaky,ABa,False,shape
12925.tif,circle,triangle,6_10,streaky,ABa,False,shape
35437.tif,circle,square,6_10,streaky,ABa,False,shape
11149.tif,triangle,triangle,6_10,streaky,ABa,True,shape
40729.tif,square,circle,6_10,streaky,ABa,False,shape
11809.tif,triangle,triangle,6_10,streaky,ABa,True,shape
17329.tif,triangle,triangle,6_10,streaky,ABa,True,shape
36613.tif,square,square,6_10,streaky,ABa,True,shape
11365.tif,circle,triangle,6_10,streaky,ABa,False,shape
2377.tif,circle,circle,6_10,streaky,ABa,True,shape
17041.tif,triangle,triangle,6_10,streaky,ABa,True,shape
36133.tif,square,square,6_10,streaky,ABa,True,shape
28885.tif,circle,square,6_10,streaky,ABa,False,shape
11677.tif,triangle,triangle,6_10,streaky,ABa,True,shape
29797.tif,square,square,6_10,streaky,ABa,True,shape
16933.tif,triangle,triangle,6_10,streaky,ABa,True,shape
12457.tif,circle,triangle,6_10,streaky,ABa,False,shape
18709.tif,square,triangle,6_10,streaky,ABa,False,shape
34753.tif,square,square,6_10,streaky,ABa,True,shape
28309.tif,circle,square,6_10,streaky,ABa,False,shape
33397.tif,square,square,6_10,streaky,ABa,True,shape
493.tif,circle,circle,6_10,streaky,ABa,True,shape
39265.tif,circle,circle,6_10,streaky,ABa,True,shape
26977.tif,triangle,square,6_10,streaky,ABa,False,shape
39325.tif,square,circle,6_10,streaky,ABa,False,shape
1669.tif,circle,circle,6_10,streaky,ABa,True,shape
1237.tif,square,circle,6_10,streaky,ABa,False,shape
18865.tif,triangle,triangle,6_10,streaky,ABa,True,shape
12325.tif,square,triangle,6_10,streaky,ABa,False,shape
11545.tif,triangle,triangle,6_10,streaky,ABa,True,shape
18061.tif,triangle,triangle,6_10,streaky,ABa,True,shape
19597.tif,triangle,triangle,6_10,streaky,ABa,True,shape
28993.tif,square,square,6_10,streaky,ABa,True,shape
1045.tif,circle,circle,6_10,streaky,ABa,True,shape
13273.tif,square,triangle,6_10,streaky,ABa,False,shape
27337.tif,triangle,square,6_10,streaky,ABa,False,shape
36217.tif,square,square,6_10,streaky,ABa,True,shape
11413.tif,circle,triangle,6_10,streaky,ABa,False,shape
12481.tif,triangle,triangle,6_10,streaky,ABa,True,shape
17401.tif,square,triangle,6_10,streaky,ABa,False,shape
41461.tif,square,circle,6_10,streaky,ABa,False,shape
18973.tif,circle,triangle,6_10,streaky,ABa,False,shape
913.tif,circle,circle,6_10,streaky,ABa,True,shape
19045.tif,circle,triangle,6_10,streaky,ABa,False,shape
28405.tif,circle,square,6_10,streaky,ABa,False,shape
35041.tif,circle,square,6_10,streaky,ABa,False,shape
28573.tif,triangle,square,6_10,streaky,ABa,False,shape
19021.tif,square,triangle,6_10,streaky,ABa,False,shape
34345.tif,square,square,6_10,streaky,ABa,True,shape
2437.tif,square,circle,6_10,streaky,ABa,False,shape
12085.tif,circle,triangle,6_10,streaky,ABa,False,shape
33469.tif,square,square,6_10,streaky,ABa,True,shape
17605.tif,triangle,triangle,6_10,streaky,ABa,True,shape
28621.tif,triangle,square,6_10,streaky,ABa,False,shape
11725.tif,square,triangle,6_10,streaky,ABa,False,shape
1741.tif,circle,circle,6_10,streaky,ABa,True,shape
12133.tif,square,triangle,6_10,streaky,ABa,False,shape
12901.tif,triangle,triangle,6_10,streaky,ABa,True,shape
18373.tif,triangle,triangle,6_10,streaky,ABa,True,shape
17869.tif,triangle,triangle,6_10,streaky,ABa,True,shape
40153.tif,triangle,circle,6_10,streaky,ABa,False,shape
29737.tif,square,square,6_10,streaky,ABa,True,shape
2245.tif,triangle,circle,6_10,streaky,ABa,False,shape
11437.tif,triangle,triangle,6_10,streaky,ABa,True,shape
17665.tif,triangle,triangle,6_10,streaky,ABa,True,shape
11497.tif,triangle,triangle,6_10,streaky,ABa,True,shape
2917.tif,square,circle,6_10,streaky,ABa,False,shape
39781.tif,square,circle,6_10,streaky,ABa,False,shape
2593.tif,square,circle,6_10,streaky,ABa,False,shape
33577.tif,square,square,6_10,streaky,ABa,True,shape
19069.tif,triangle,triangle,6_10,streaky,ABa,True,shape
17641.tif,triangle,triangle,6_10,streaky,ABa,True,shape
19945.tif,triangle,triangle,6_10,streaky,ABa,True,shape
33373.tif,square,square,6_10,streaky,ABa,True,shape
27205.tif,triangle,square,6_10,streaky,ABa,False,shape
1957.tif,circle,circle,6_10,streaky,ABa,True,shape
34165.tif,square,square,6_10,streaky,ABa,True,shape
36061.tif,square,square,6_10,streaky,ABa,True,shape
35065.tif,circle,square,6_10,streaky,ABa,False,shape
36301.tif,square,square,6_10,streaky,ABa,True,shape
18733.tif,triangle,triangle,6_10,streaky,ABa,True,shape
39589.tif,square,circle,6_10,streaky,ABa,False,shape
997.tif,circle,circle,6_10,streaky,ABa,True,shape
1645.tif,circle,circle,6_10,streaky,ABa,True,shape
40633.tif,square,circle,6_10,streaky,ABa,False,shape
40945.tif,square,circle,6_10,streaky,ABa,False,shape
2173.tif,circle,circle,6_10,streaky,ABa,True,shape
28045.tif,square,square,6_10,streaky,ABa,True,shape
34801.tif,square,square,6_10,streaky,ABa,True,shape
17929.tif,triangle,triangle,6_10,streaky,ABa,True,shape
2761.tif,square,circle,6_10,streaky,ABa,False,shape
12061.tif,square,triangle,6_10,streaky,ABa,False,shape
27997.tif,square,square,6_10,streaky,ABa,True,shape
34297.tif,circle,square,6_10,streaky,ABa,False,shape
11521.tif,triangle,triangle,6_10,streaky,ABa,True,shape
673.tif,circle,circle,6_10,streaky,ABa,True,shape
28333.tif,square,square,6_10,streaky,ABa,True,shape
19813.tif,triangle,triangle,6_10,streaky,ABa,True,shape
34633.tif,square,square,6_10,streaky,ABa,True,shape
16861.tif,triangle,triangle,6_10,streaky,ABa,True,shape
11197.tif,triangle,triangle,6_10,streaky,ABa,True,shape
18613.tif,circle,triangle,6_10,streaky,ABa,False,shape
2869.tif,square,circle,6_10,streaky,ABa,False,shape
1981.tif,circle,circle,6_10,streaky,ABa,True,shape
33925.tif,square,square,6_10,streaky,ABa,True,shape
38929.tif,triangle,circle,6_10,streaky,ABa,False,shape
11017.tif,triangle,triangle,6_10,streaky,ABa,True,shape
1933.tif,circle,circle,6_10,streaky,ABa,True,shape
29173.tif,triangle,square,6_10,streaky,ABa,False,shape
39637.tif,circle,circle,6_10,streaky,ABa,True,shape
469.tif,square,circle,6_10,streaky,ABa,False,shape
3337.tif,square,circle,6_10,streaky,ABa,False,shape
11389.tif,triangle,triangle,6_10,streaky,ABa,True,shape
18397.tif,triangle,triangle,6_10,streaky,ABa,True,shape
19417.tif,triangle,triangle,6_10,streaky,ABa,True,shape
11461.tif,square,triangle,6_10,streaky,ABa,False,shape
973.tif,circle,circle,6_10,streaky,ABa,True,shape
33445.tif,square,square,6_10,streaky,ABa,True,shape
33421.tif,square,square,6_10,streaky,ABa,True,shape
18169.tif,triangle,triangle,6_10,streaky,ABa,True,shape
1693.tif,circle,circle,6_10,streaky,ABa,True,shape
709.tif,square,circle,6_10,streaky,ABa,False,shape
34129.tif,circle,square,6_10,streaky,ABa,False,shape
36349.tif,square,square,6_10,streaky,ABa,True,shape
17173.tif,triangle,triangle,6_10,streaky,ABa,True,shape
40333.tif,square,circle,6_10,streaky,ABa,False,shape
28513.tif,triangle,square,6_10,streaky,ABa,False,shape
29713.tif,square,square,6_10,streaky,ABa,True,shape
28273.tif,circle,square,6_10,streaky,ABa,False,shape
17845.tif,triangle,triangle,6_10,streaky,ABa,True,shape
12349.tif,circle,triangle,6_10,streaky,ABa,False,shape
18301.tif,triangle,triangle,6_10,streaky,ABa,True,shape
39373.tif,circle,circle,6_10,streaky,ABa,True,shape
10633.tif,triangle,triangle,6_10,streaky,ABa,True,shape
35329.tif,square,square,6_10,streaky,ABa,True,shape
39913.tif,triangle,circle,6_10,streaky,ABa,False,shape
41269.tif,triangle,circle,6_10,streaky,ABa,False,shape
40501.tif,circle,circle,6_10,streaky,ABa,True,shape
11701.tif,triangle,triangle,6_10,streaky,ABa,True,shape
27733.tif,square,square,6_10,streaky,ABa,True,shape
2977.tif,circle,circle,6_10,streaky,ABa,True,shape
28177.tif,circle,square,6_10,streaky,ABa,False,shape
41509.tif,circle,circle,6_10,streaky,ABa,True,shape
19153.tif,triangle,triangle,6_10,streaky,ABa,True,shape
28069.tif,square,square,6_10,streaky,ABa,True,shape
29821.tif,circle,square,6_10,streaky,ABa,False,shape
3073.tif,circle,circle,6_10,streaky,ABa,True,shape
18349.tif,triangle,triangle,6_10,streaky,ABa,True,shape
39481.tif,triangle,circle,6_10,streaky,ABa,False,shape
16993.tif,triangle,triangle,6_10,streaky,ABa,True,shape
35569.tif,square,square,6_10,streaky,ABa,True,shape
10081.tif,triangle,triangle,6_10,streaky,ABa,True,shape
18637.tif,circle,triangle,6_10,streaky,ABa,False,shape
11893.tif,square,triangle,6_10,streaky,ABa,False,shape
34261.tif,square,square,6_10,streaky,ABa,True,shape
19549.tif,triangle,triangle,6_10,streaky,ABa,True,shape
35257.tif,square,square,6_10,streaky,ABa,True,shape
28861.tif,circle,square,6_10,streaky,ABa,False,shape
18661.tif,triangle,triangle,6_10,streaky,ABa,True,shape
12721.tif,square,triangle,6_10,streaky,ABa,False,shape
39109.tif,square,circle,6_10,streaky,ABa,False,shape
35917.tif,square,square,6_10,streaky,ABa,True,shape
35629.tif,square,square,6_10,streaky,ABa,True,shape
