task,architecture,accuracy,instances
doorway,convnext_nano.in12k,0.9722222222222222,12
doorway,convnext_nano.in12k_ft_in1k,0.9652777777777778,12
doorway,convnext_small.in12k,0.9861111111111112,12
doorway,convnext_tiny.in12k,0.9618055555555556,12
doorway,convnext_tiny.in12k_ft_in1k,0.9600694444444444,12
doorway,convnextv2_tiny.fcmae,0.9444444444444444,12
doorway,efficientnet_b0.ra_in1k,0.9618055555555556,12
doorway,efficientnet_b3.ra2_in1k,0.9756944444444444,12
doorway,mobilenetv2_100.ra_in1k,0.9791666666666666,12
doorway,regnety_040.ra3_in1k,0.9930555555555556,12
doorway,regnety_064.ra3_in1k,0.9965277777777778,12
doorway,regnety_080.ra3_in1k,0.9895833333333334,12
doorway,resnet101.a1h_in1k,0.9513888888888888,12
doorway,resnet18.a1_in1k,0.9618055555555556,12
doorway,resnet18d.ra2_in1k,0.9791666666666666,12
doorway,resnet50.a1_in1k,0.9652777777777778,12
doorway,resnet50.a1h_in1k,0.9826388888888888,12
doorway,resnet50d.a1_in1k,0.96875,12
doorway,vgg11_bn.tv_in1k,0.9826388888888888,12
doorway,vgg13_bn.tv_in1k,0.9895833333333334,12
doorway,vgg16_bn.tv_in1k,0.9930555555555556,12
doorway,vgg19_bn.tv_in1k,0.9930555555555556,12
doorway,vit_base_patch16_224.augreg2_in21k_ft_in1k,1.0,12
doorway,vit_base_patch16_224.dino,1.0,12
doorway,vit_base_patch16_224.mae,1.0,12
doorway,vit_base_patch16_clip_224.openai,1.0,12
doorway,vit_base_patch8_224.dino,1.0,12
doorway,vit_small_patch16_224.dino,1.0,12
emotion,convnext_nano.in12k,0.6333333333333333,12
emotion,convnext_nano.in12k_ft_in1k,0.6208333333333333,12
emotion,convnext_small.in12k,0.6333333333333333,12
emotion,convnext_tiny.in12k,0.6416666666666667,12
emotion,convnext_tiny.in12k_ft_in1k,0.625,12
emotion,convnextv2_tiny.fcmae,0.5,12
emotion,efficientnet_b0.ra_in1k,0.6,12
emotion,efficientnet_b3.ra2_in1k,0.5791666666666666,12
emotion,mobilenetv2_100.ra_in1k,0.575,12
emotion,regnety_040.ra3_in1k,0.6083333333333333,12
emotion,regnety_064.ra3_in1k,0.625,12
emotion,regnety_080.ra3_in1k,0.6208333333333333,12
emotion,resnet101.a1h_in1k,0.55,12
emotion,resnet18.a1_in1k,0.525,12
emotion,resnet18d.ra2_in1k,0.5666666666666667,12
emotion,resnet50.a1_in1k,0.5375,12
emotion,resnet50.a1h_in1k,0.575,12
emotion,resnet50d.a1_in1k,0.55,12
emotion,vgg11_bn.tv_in1k,0.575,12
emotion,vgg13_bn.tv_in1k,0.5583333333333333,12
emotion,vgg16_bn.tv_in1k,0.5666666666666667,12
emotion,vgg19_bn.tv_in1k,0.5833333333333334,12
emotion,vit_base_patch16_224.augreg2_in21k_ft_in1k,0.5958333333333333,12
emotion,vit_base_patch16_224.dino,0.6,12
emotion,vit_base_patch16_224.mae,0.625,12
emotion,vit_base_patch16_clip_224.openai,0.6,12
emotion,vit_base_patch8_224.dino,0.6166666666666667,12
emotion,vit_small_patch16_224.dino,0.6125,12
locate_person,convnext_nano.in12k,1.0,12
locate_person,convnext_nano.in12k_ft_in1k,0.9966666666666667,12
locate_person,convnext_small.in12k,0.9966666666666667,12
locate_person,convnext_tiny.in12k,0.9966666666666667,12
locate_person,convnext_tiny.in12k_ft_in1k,0.9966666666666667,12
locate_person,convnextv2_tiny.fcmae,0.9716666666666667,12
locate_person,efficientnet_b0.ra_in1k,0.9933333333333333,12
locate_person,efficientnet_b3.ra2_in1k,0.9933333333333333,12
locate_person,mobilenetv2_100.ra_in1k,0.9933333333333333,12
locate_person,regnety_040.ra3_in1k,1.0,12
locate_person,regnety_064.ra3_in1k,1.0,12
locate_person,regnety_080.ra3_in1k,1.0,12
