task,implant_type,model_type,architecture,run,architecture_family,accuracy,trial_count
doorway,12_10,pointy,convnext_nano.in12k,1,ConvNeXt,0.9409722222222222,288
doorway,12_10,pointy,convnext_nano.in12k,2,ConvNeXt,0.9479166666666666,288
doorway,12_10,pointy,convnext_nano.in12k,3,ConvNeXt,0.9479166666666666,288
doorway,12_10,pointy,convnext_nano.in12k,4,ConvNeXt,0.9444444444444444,288
doorway,12_10,pointy,convnext_nano.in12k,5,ConvNeXt,0.9513888888888888,288
doorway,12_10,pointy,convnext_nano.in12k,6,ConvNeXt,0.9479166666666666,288
doorway,12_10,pointy,convnext_nano.in12k,7,ConvNeXt,0.9513888888888888,288
doorway,12_10,pointy,convnext_nano.in12k,8,ConvNeXt,0.9409722222222222,288
doorway,12_10,pointy,convnext_nano.in12k,9,ConvNeXt,0.9513888888888888,288
doorway,12_10,pointy,convnext_nano.in12k,10,ConvNeXt,0.9479166666666666,288
doorway,12_10,pointy,convnext_nano.in12k,11,ConvNeXt,0.9479166666666666,288
doorway,12_10,pointy,convnext_nano.in12k,12,ConvNeXt,0.9375,288
doorway,12_10,pointy,convnext_nano.in12k_ft_in1k,1,ConvNeXt,0.9340277777777778,288
doorway,12_10,pointy,convnext_nano.in12k_ft_in1k,2,ConvNeXt,0.9340277777777778,288
doorway,12_10,pointy,convnext_nano.in12k_ft_in1k,3,ConvNeXt,0.9097222222222222,288
doorway,12_10,pointy,convnext_nano.in12k_ft_in1k,4,ConvNeXt,0.9236111111111112,288
doorway,12_10,pointy,convnext_nano.in12k_ft_in1k,5,ConvNeXt,0.9409722222222222,288
doorway,12_10,pointy,convnext_nano.in12k_ft_in1k,6,ConvNeXt,0.9340277777777778,288
doorway,12_10,pointy,convnext_nano.in12k_ft_in1k,7,ConvNeXt,0.9444444444444444,288
doorway,12_10,pointy,convnext_nano.in12k_ft_in1k,8,ConvNeXt,0.9479166666666666,288
doorway,12_10,pointy,convnext_nano.in12k_ft_in1k,9,ConvNeXt,0.9270833333333334,288
doorway,12_10,pointy,convnext_nano.in12k_ft_in1k,10,ConvNeXt,0.9444444444444444,288
doorway,12_10,pointy,convnext_nano.in12k_ft_in1k,11,ConvNeXt,0.9409722222222222,288
doorway,12_10,pointy,convnext_nano.in12k_ft_in1k,12,ConvNeXt,0.9479166666666666,288
doorway,12_10,pointy,convnext_small.in12k,1,ConvNeXt,0.9756944444444444,288
doorway,12_10,pointy,convnext_small.in12k,2,ConvNeXt,0.9618055555555556,288
doorway,12_10,pointy,convnext_small.in12k,3,ConvNeXt,0.9756944444444444,288
doorway,12_10,pointy,convnext_small.in12k,4,ConvNeXt,0.9652777777777778,288
doorway,12_10,pointy,convnext_small.in12k,5,ConvNeXt,0.9756944444444444,288
doorway,12_10,pointy,convnext_small.in12k,6,ConvNeXt,0.96875,288
doorway,12_10,pointy,convnext_small.in12k,7,ConvNeXt,0.9618055555555556,288
doorway,12_10,pointy,convnext_small.in12k,8,ConvNeXt,0.9722222222222222,288
doorway,12_10,pointy,convnext_small.in12k,9,ConvNeXt,0.96875,288
doorway,12_10,pointy,convnext_small.in12k,10,ConvNeXt,0.9756944444444444,288
doorway,12_10,pointy,convnext_small.in12k,11,ConvNeXt,0.9791666666666666,288
doorway,12_10,pointy,convnext_small.in12k,12,ConvNeXt,0.9618055555555556,288
doorway,12_10,pointy,convnext_tiny.in12k,1,ConvNeXt,0.9409722222222222,288
doorway,12_10,pointy,convnext_tiny.in12k,2,ConvNeXt,0.9583333333333334,288
doorway,12_10,pointy,convnext_tiny.in12k,3,ConvNeXt,0.9409722222222222,288
doorway,12_10,pointy,convnext_tiny.in12k,4,ConvNeXt,0.9618055555555556,288
doorway,12_10,pointy,convnext_tiny.in12k,5,ConvNeXt,0.9236111111111112,288
doorway,12_10,pointy,convnext_tiny.in12k,6,ConvNeXt,0.9513888888888888,288
doorway,12_10,pointy,convnext_tiny.in12k,7,ConvNeXt,0.9513888888888888,288
doorway,12_10,pointy,convnext_tiny.in12k,8,ConvNeXt,0.9513888888888888,288
doorway,12_10,pointy,convnext_tiny.in12k,9,ConvNeXt,0.9548611111111112,288
doorway,12_10,pointy,convnext_tiny.in12k,10,ConvNeXt,0.9548611111111112,288
doorway,12_10,pointy,convnext_tiny.in12k,11,ConvNeXt,0.9583333333333334,288
doorway,12_10,pointy,convnext_tiny.in12k,12,ConvNeXt,0.9583333333333334,288
doorway,12_10,pointy,convnext_tiny.in12k_ft_in1k,1,ConvNeXt,0.9618055555555556,288
doorway,12_10,pointy,convnext_tiny.in12k_ft_in1k,2,ConvNeXt,0.9548611111111112,288
doorway,12_10,pointy,convnext_tiny.in12k_ft_in1k,3,ConvNeXt,0.9722222222222222,288
doorway,12_10,pointy,convnext_tiny.in12k_ft_in1k,4,ConvNeXt,0.9513888888888888,288
doorway,12_10,pointy,convnext_tiny.in12k_ft_in1k,5,ConvNeXt,0.9791666666666666,288
doorway,12_10,pointy,convnext_tiny.in12k_ft_in1k,6,ConvNeXt,0.9756944444444444,288
doorway,12_10,pointy,convnext_tiny.in12k_ft_in1k,7,ConvNeXt,0.9305555555555556,288
doorway,12_10,pointy,convnext_tiny.in12k_ft_in1k,8,ConvNeXt,0.9652777777777778,288
doorway,12_10,pointy,convnext_tiny.in12k_ft_in1k,9,ConvNeXt,0.9444444444444444,288
doorway,12_10,pointy,convnext_tiny.in12k_ft_in1k,10,ConvNeXt,0.9756944444444444,288
doorway,12_10,pointy,convnext_tiny.in12k_ft_in1k,11,ConvNeXt,0.9722222222222222,288
doorway,12_10,pointy,convnext_tiny.in12k_ft_in1k,12,ConvNeXt,0.9479166666666666,288
doorway,12_10,pointy,convnextv2_tiny.fcmae,1,ConvNeXt,0.9513888888888888,288
doorway,12_10,pointy,convnextv2_tiny.fcmae,2,ConvNeXt,0.9479166666666666,288
doorway,12_10,pointy,convnextv2_tiny.fcmae,3,ConvNeXt,0.9548611111111112,288
doorway,12_10,pointy,convnextv2_tiny.fcmae,4,ConvNeXt,0.9583333333333334,288
doorway,12_10,pointy,convnextv2_tiny.fcmae,5,ConvNeXt,0.9548611111111112,288
doorway,12_10,pointy,convnextv2_tiny.fcmae,6,ConvNeXt,0.9548611111111112,288
doorway,12_10,pointy,convnextv2_tiny.fcmae,7,ConvNeXt,0.9548611111111112,288
doorway,12_10,pointy,convnextv2_tiny.fcmae,8,ConvNeXt,0.9583333333333334,288
doorway,12_10,pointy,convnextv2_tiny.fcmae,9,ConvNeXt,0.9583333333333334,288
doorway,12_10,pointy,convnextv2_tiny.fcmae,10,ConvNeXt,0.9583333333333334,288
doorway,12_10,pointy,convnextv2_tiny.fcmae,11,ConvNeXt,0.9513888888888888,288
doorway,12_10,pointy,convnextv2_tiny.fcmae,12,ConvNeXt,0.9409722222222222,288
doorway,12_10,pointy,efficientnet_b0.ra_in1k,1,EfficientNet,0.9548611111111112,288
doorway,12_10,pointy,efficientnet_b0.ra_in1k,2,EfficientNet,0.9583333333333334,288
doorway,12_10,pointy,efficientnet_b0.ra_in1k,3,EfficientNet,0.9652777777777778,288
doorway,12_10,pointy,efficientnet_b0.ra_in1k,4,EfficientNet,0.9652777777777778,288
doorway,12_10,pointy,efficientnet_b0.ra_in1k,5,EfficientNet,0.9583333333333334,288
doorway,12_10,pointy,efficientnet_b0.ra_in1k,6,EfficientNet,0.9652777777777778,288
doorway,12_10,pointy,efficientnet_b0.ra_in1k,7,EfficientNet,0.9583333333333334,288
doorway,12_10,pointy,efficientnet_b0.ra_in1k,8,EfficientNet,0.9583333333333334,288
doorway,12_10,pointy,efficientnet_b0.ra_in1k,9,EfficientNet,0.9652777777777778,288
doorway,12_10,pointy,efficientnet_b0.ra_in1k,10,EfficientNet,0.9583333333333334,288
doorway,12_10,pointy,efficientnet_b0.ra_in1k,11,EfficientNet,0.9618055555555556,288
doorway,12_10,pointy,efficientnet_b0.ra_in1k,12,EfficientNet,0.9652777777777778,288
doorway,12_10,pointy,efficientnet_b3.ra2_in1k,1,EfficientNet,0.9756944444444444,288
doorway,12_10,pointy,efficientnet_b3.ra2_in1k,2,EfficientNet,0.9652777777777778,288
doorway,12_10,pointy,efficientnet_b3.ra2_in1k,3,EfficientNet,0.96875,288
doorway,12_10,pointy,efficientnet_b3.ra2_in1k,4,EfficientNet,0.96875,288
doorway,12_10,pointy,efficientnet_b3.ra2_in1k,5,EfficientNet,0.9756944444444444,288
doorway,12_10,pointy,efficientnet_b3.ra2_in1k,6,EfficientNet,0.96875,288
doorway,12_10,pointy,efficientnet_b3.ra2_in1k,7,EfficientNet,0.96875,288
doorway,12_10,pointy,efficientnet_b3.ra2_in1k,8,EfficientNet,0.9618055555555556,288
doorway,12_10,pointy,efficientnet_b3.ra2_in1k,9,EfficientNet,0.96875,288
doorway,12_10,pointy,efficientnet_b3.ra2_in1k,10,EfficientNet,0.9722222222222222,288
doorway,12_10,pointy,efficientnet_b3.ra2_in1k,11,EfficientNet,0.9652777777777778,288
doorway,12_10,pointy,efficientnet_b3.ra2_in1k,12,EfficientNet,0.9652777777777778,288
doorway,12_10,pointy,mobilenetv2_100.ra_in1k,1,MobileNetV2,0.9861111111111112,288
doorway,12_10,pointy,mobilenetv2_100.ra_in1k,2,MobileNetV2,0.9826388888888888,288
doorway,12_10,pointy,mobilenetv2_100.ra_in1k,3,MobileNetV2,0.9861111111111112,288
doorway,12_10,pointy,mobilenetv2_100.ra_in1k,4,MobileNetV2,0.9756944444444444,288
doorway,12_10,pointy,mobilenetv2_100.ra_in1k,5,MobileNetV2,0.9826388888888888,288
doorway,12_10,pointy,mobilenetv2_100.ra_in1k,6,MobileNetV2,0.9826388888888888,288
doorway,12_10,pointy,mobilenetv2_100.ra_in1k,7,MobileNetV2,0.9861111111111112,288
doorway,12_10,pointy,mobilenetv2_100.ra_in1k,8,MobileNetV2,0.9826388888888888,288
doorway,12_10,pointy,mobilenetv2_100.ra_in1k,9,MobileNetV2,0.9861111111111112,288
doorway,12_10,pointy,mobilenetv2_100.ra_in1k,10,MobileNetV2,0.9826388888888888,288
doorway,12_10,pointy,mobilenetv2_100.ra_in1k,11,MobileNetV2,0.9826388888888888,288
doorway,12_10,pointy,mobilenetv2_100.ra_in1k,12,MobileNetV2,0.9861111111111112,288
doorway,12_10,pointy,regnety_040.ra3_in1k,1,RegNetY,0.96875,288
doorway,12_10,pointy,regnety_040.ra3_in1k,2,RegNetY,0.9756944444444444,288
doorway,12_10,pointy,regnety_040.ra3_in1k,3,RegNetY,0.9722222222222222,288
doorway,12_10,pointy,regnety_040.ra3_in1k,4,RegNetY,0.9791666666666666,288
doorway,12_10,pointy,regnety_040.ra3_in1k,5,RegNetY,0.9756944444444444,288
doorway,12_10,pointy,regnety_040.ra3_in1k,6,RegNetY,0.9722222222222222,288
doorway,12_10,pointy,regnety_040.ra3_in1k,7,RegNetY,0.96875,288
doorway,12_10,pointy,regnety_040.ra3_in1k,8,RegNetY,0.9722222222222222,288
doorway,12_10,pointy,regnety_040.ra3_in1k,9,RegNetY,0.9756944444444444,288
doorway,12_10,pointy,regnety_040.ra3_in1k,10,RegNetY,0.9756944444444444,288
doorway,12_10,pointy,regnety_040.ra3_in1k,11,RegNetY,0.96875,288
doorway,12_10,pointy,regnety_040.ra3_in1k,12,RegNetY,0.9756944444444444,288
doorway,12_10,pointy,regnety_064.ra3_in1k,1,RegNetY,0.9965277777777778,288
doorway,12_10,pointy,regnety_064.ra3_in1k,2,RegNetY,0.9965277777777778,288
doorway,12_10,pointy,regnety_064.ra3_in1k,3,RegNetY,0.9965277777777778,288
doorway,12_10,pointy,regnety_064.ra3_in1k,4,RegNetY,0.9965277777777778,288
doorway,12_10,pointy,regnety_064.ra3_in1k,5,RegNetY,0.9965277777777778,288
doorway,12_10,pointy,regnety_064.ra3_in1k,6,RegNetY,0.9965277777777778,288
doorway,12_10,pointy,regnety_064.ra3_in1k,7,RegNetY,0.9965277777777778,288
doorway,12_10,pointy,regnety_064.ra3_in1k,8,RegNetY,0.9965277777777778,288
doorway,12_10,pointy,regnety_064.ra3_in1k,9,RegNetY,0.9965277777777778,288
doorway,12_10,pointy,regnety_064.ra3_in1k,10,RegNetY,0.9965277777777778,288
doorway,12_10,pointy,regnety_064.ra3_in1k,11,RegNetY,0.9965277777777778,288
doorway,12_10,pointy,regnety_064.ra3_in1k,12,RegNetY,0.9965277777777778,288
doorway,12_10,pointy,regnety_080.ra3_in1k,1,RegNetY,0.9930555555555556,288
doorway,12_10,pointy,regnety_080.ra3_in1k,2,RegNetY,0.9930555555555556,288
doorway,12_10,pointy,regnety_080.ra3_in1k,3,RegNetY,0.9895833333333334,288
doorway,12_10,pointy,regnety_080.ra3_in1k,4,RegNetY,0.9930555555555556,288
doorway,12_10,pointy,regnety_080.ra3_in1k,5,RegNetY,0.9930555555555556,288
doorway,12_10,pointy,regnety_080.ra3_in1k,6,RegNetY,0.9895833333333334,288
doorway,12_10,pointy,regnety_080.ra3_in1k,7,RegNetY,0.9930555555555556,288
doorway,12_10,pointy,regnety_080.ra3_in1k,8,RegNetY,0.9930555555555556,288
doorway,12_10,pointy,regnety_080.ra3_in1k,9,RegNetY,0.9930555555555556,288
doorway,12_10,pointy,regnety_080.ra3_in1k,10,RegNetY,0.9895833333333334,288
doorway,12_10,pointy,regnety_080.ra3_in1k,11,RegNetY,0.9930555555555556,288
doorway,12_10,pointy,regnety_080.ra3_in1k,12,RegNetY,0.9930555555555556,288
doorway,12_10,pointy,resnet101.a1h_in1k,1,ResNet,0.9479166666666666,288
doorway,12_10,pointy,resnet101.a1h_in1k,2,ResNet,0.9444444444444444,288
doorway,12_10,pointy,resnet101.a1h_in1k,3,ResNet,0.9340277777777778,288
doorway,12_10,pointy,resnet101.a1h_in1k,4,ResNet,0.9479166666666666,288
doorway,12_10,pointy,resnet101.a1h_in1k,5,ResNet,0.9444444444444444,288
doorway,12_10,pointy,resnet101.a1h_in1k,6,ResNet,0.9479166666666666,288
doorway,12_10,pointy,resnet101.a1h_in1k,7,ResNet,0.9548611111111112,288
doorway,12_10,pointy,resnet101.a1h_in1k,8,ResNet,0.9513888888888888,288
doorway,12_10,pointy,resnet101.a1h_in1k,9,ResNet,0.9444444444444444,288
doorway,12_10,pointy,resnet101.a1h_in1k,10,ResNet,0.9444444444444444,288
doorway,12_10,pointy,resnet101.a1h_in1k,11,ResNet,0.9548611111111112,288
doorway,12_10,pointy,resnet101.a1h_in1k,12,ResNet,0.9340277777777778,288
doorway,12_10,pointy,resnet18.a1_in1k,1,ResNet,0.96875,288
doorway,12_10,pointy,resnet18.a1_in1k,2,ResNet,0.9652777777777778,288
doorway,12_10,pointy,resnet18.a1_in1k,3,ResNet,0.9652777777777778,288
doorway,12_10,pointy,resnet18.a1_in1k,4,ResNet,0.96875,288
