task,implant_type,model_type,run,accuracy
doorway,12_10,pointy,1,0.9758184523809523
doorway,12_10,pointy,2,0.9753224206349206
doorway,12_10,pointy,3,0.9755704365079365
doorway,12_10,pointy,4,0.9761904761904762
doorway,12_10,pointy,5,0.9770585317460317
doorway,12_10,pointy,6,0.9770585317460317
doorway,12_10,pointy,7,0.9751984126984127
doorway,12_10,pointy,8,0.9766865079365079
doorway,12_10,pointy,9,0.9756944444444444
doorway,12_10,pointy,10,0.9778025793650794
doorway,12_10,pointy,11,0.9770585317460317
doorway,12_10,pointy,12,0.9756944444444444
doorway,12_10,streaky,1,0.9852430555555556
doorway,12_10,streaky,2,0.9871031746031746
doorway,12_10,streaky,3,0.9830109126984127
doorway,12_10,streaky,4,0.9874751984126984
doorway,12_10,streaky,5,0.9878472222222222
doorway,12_10,streaky,6,0.9864831349206349
doorway,12_10,streaky,7,0.9861111111111112
doorway,12_10,streaky,8,0.9877232142857143
doorway,12_10,streaky,9,0.9869791666666666
doorway,12_10,streaky,10,0.9879712301587301
doorway,12_10,streaky,11,0.9878472222222222
doorway,12_10,streaky,12,0.9892113095238095
doorway,12_20,pointy,1,0.9833829365079365
doorway,12_20,pointy,2,0.9835069444444444
doorway,12_20,pointy,3,0.9854910714285714
doorway,12_20,pointy,4,0.9844990079365079
doorway,12_20,pointy,5,0.9833829365079365
doorway,12_20,pointy,6,0.980406746031746
doorway,12_20,pointy,7,0.9821428571428571
doorway,12_20,pointy,8,0.9811507936507936
doorway,12_20,pointy,9,0.980530753968254
doorway,12_20,pointy,10,0.9800347222222222
doorway,12_20,pointy,11,0.9794146825396826
doorway,12_20,pointy,12,0.9744543650793651
doorway,12_20,streaky,1,0.9916914682539683
doorway,12_20,streaky,2,0.9908234126984127
doorway,12_20,streaky,3,0.9915674603174603
doorway,12_20,streaky,4,0.9914434523809523
doorway,12_20,streaky,5,0.9926835317460317
doorway,12_20,streaky,6,0.9929315476190477
doorway,12_20,streaky,7,0.9898313492063492
doorway,12_20,streaky,8,0.9900793650793651
doorway,12_20,streaky,9,0.9888392857142857
doorway,12_20,streaky,10,0.9887152777777778
doorway,12_20,streaky,11,0.9904513888888888
doorway,12_20,streaky,12,0.9890873015873016
doorway,6_10,pointy,1,0.9254712301587301
doorway,6_10,pointy,2,0.9259672619047619
doorway,6_10,pointy,3,0.9244791666666666
doorway,6_10,pointy,4,0.9327876984126984
doorway,6_10,pointy,5,0.9298115079365079
doorway,6_10,pointy,6,0.9304315476190477
doorway,6_10,pointy,7,0.9314236111111112
doorway,6_10,pointy,8,0.9278273809523809
doorway,6_10,pointy,9,0.9196428571428571
doorway,6_10,pointy,10,0.925719246031746
doorway,6_10,pointy,11,0.9280753968253969
doorway,6_10,pointy,12,0.9346478174603174
doorway,6_10,streaky,1,0.9810267857142857
doorway,6_10,streaky,2,0.9821428571428571
doorway,6_10,streaky,3,0.980530753968254
doorway,6_10,streaky,4,0.9818948412698413
doorway,6_10,streaky,5,0.9820188492063492
doorway,6_10,streaky,6,0.9826388888888888
doorway,6_10,streaky,7,0.9816468253968254
doorway,6_10,streaky,8,0.9828869047619048
doorway,6_10,streaky,9,0.9820188492063492
doorway,6_10,streaky,10,0.9801587301587301
doorway,6_10,streaky,11,0.9821428571428571
doorway,6_10,streaky,12,0.9822668650793651
doorway,6_15,pointy,1,0.9407242063492064
doorway,6_15,pointy,2,0.9403521825396826
doorway,6_15,pointy,3,0.9404761904761905
doorway,6_15,pointy,4,0.9388640873015873
doorway,6_15,pointy,5,0.941344246031746
doorway,6_15,pointy,6,0.9382440476190477
doorway,6_15,pointy,7,0.9387400793650794
doorway,6_15,pointy,8,0.9410962301587301
doorway,6_15,pointy,9,0.9407242063492064
doorway,6_15,pointy,10,0.9417162698412699
doorway,6_15,pointy,11,0.9375
doorway,6_15,pointy,12,0.9396081349206349
doorway,6_15,streaky,1,0.9893353174603174
doorway,6_15,streaky,2,0.9889632936507936
doorway,6_15,streaky,3,0.9889632936507936
doorway,6_15,streaky,4,0.9887152777777778
doorway,6_15,streaky,5,0.9869791666666666
doorway,6_15,streaky,6,0.9884672619047619
doorway,6_15,streaky,7,0.9884672619047619
doorway,6_15,streaky,8,0.9889632936507936
doorway,6_15,streaky,9,0.988343253968254
doorway,6_15,streaky,10,0.9899553571428571
doorway,6_15,streaky,11,0.9898313492063492
doorway,6_15,streaky,12,0.9872271825396826
doorway,6_20,pointy,1,0.9470486111111112
doorway,6_20,pointy,2,0.9517609126984127
doorway,6_20,pointy,3,0.9557291666666666
doorway,6_20,pointy,4,0.9567212301587301
doorway,6_20,pointy,5,0.9497767857142857
doorway,6_20,pointy,6,0.9499007936507936
doorway,6_20,pointy,7,0.9568452380952381
doorway,6_20,pointy,8,0.9516369047619048
doorway,6_20,pointy,9,0.9598214285714286
doorway,6_20,pointy,10,0.9539930555555556
doorway,6_20,pointy,11,0.9430803571428571
doorway,6_20,pointy,12,0.9521329365079365
doorway,6_20,streaky,1,0.9873511904761905
doorway,6_20,streaky,2,0.9878472222222222
doorway,6_20,streaky,3,0.9899553571428571
doorway,6_20,streaky,4,0.9892113095238095
doorway,6_20,streaky,5,0.9875992063492064
doorway,6_20,streaky,6,0.9858630952380952
doorway,6_20,streaky,7,0.9889632936507936
doorway,6_20,streaky,8,0.9889632936507936
doorway,6_20,streaky,9,0.9892113095238095
doorway,6_20,streaky,10,0.9884672619047619
doorway,6_20,streaky,11,0.9880952380952381
doorway,6_20,streaky,12,0.9875992063492064
doorway,9_10,pointy,1,0.962921626984127
doorway,9_10,pointy,2,0.9621775793650794
doorway,9_10,pointy,3,0.9616815476190477
doorway,9_10,pointy,4,0.9623015873015873
doorway,9_10,pointy,5,0.9632936507936508
doorway,9_10,pointy,6,0.9615575396825397
doorway,9_10,pointy,7,0.9620535714285714
doorway,9_10,pointy,8,0.9625496031746031
doorway,9_10,pointy,9,0.9650297619047619
doorway,9_10,pointy,10,0.9621775793650794
doorway,9_10,pointy,11,0.9613095238095238
doorway,9_10,pointy,12,0.9627976190476191
doorway,9_10,streaky,1,0.9887152777777778
doorway,9_10,streaky,2,0.9821428571428571
doorway,9_10,streaky,3,0.9822668650793651
doorway,9_10,streaky,4,0.9877232142857143
doorway,9_10,streaky,5,0.9892113095238095
doorway,9_10,streaky,6,0.9859871031746031
doorway,9_10,streaky,7,0.9880952380952381
doorway,9_10,streaky,8,0.9844990079365079
doorway,9_10,streaky,9,0.9872271825396826
doorway,9_10,streaky,10,0.9854910714285714
doorway,9_10,streaky,11,0.9857390873015873
doorway,9_10,streaky,12,0.9832589285714286
emotion,12_10,pointy,1,0.6404761904761904
emotion,12_10,pointy,2,0.6357142857142857
emotion,12_10,pointy,3,0.6306547619047619
emotion,12_10,pointy,4,0.6190476190476191
emotion,12_10,pointy,5,0.6083333333333333
emotion,12_10,pointy,6,0.6014880952380952
emotion,12_10,pointy,7,0.6309523809523809
emotion,12_10,pointy,8,0.6059523809523809
emotion,12_10,pointy,9,0.6464285714285715
emotion,12_10,pointy,10,0.6083333333333333
emotion,12_10,pointy,11,0.5982142857142857
emotion,12_10,pointy,12,0.6229166666666667
emotion,12_10,streaky,1,0.6113095238095239
emotion,12_10,streaky,2,0.5931547619047619
emotion,12_10,streaky,3,0.6273809523809524
emotion,12_10,streaky,4,0.6008928571428571
emotion,12_10,streaky,5,0.6136904761904762
emotion,12_10,streaky,6,0.6151785714285715
emotion,12_10,streaky,7,0.5901785714285714
emotion,12_10,streaky,8,0.5782738095238096
emotion,12_10,streaky,9,0.6276785714285714
emotion,12_10,streaky,10,0.6041666666666666
emotion,12_10,streaky,11,0.6202380952380953
emotion,12_10,streaky,12,0.5955357142857143
emotion,12_20,pointy,1,0.5961309523809524
emotion,12_20,pointy,2,0.6110119047619048
emotion,12_20,pointy,3,0.6038690476190476
emotion,12_20,pointy,4,0.5779761904761904
emotion,12_20,pointy,5,0.6056547619047619
emotion,12_20,pointy,6,0.5931547619047619
emotion,12_20,pointy,7,0.5889880952380953
emotion,12_20,pointy,8,0.5892857142857143
emotion,12_20,pointy,9,0.5839285714285715
emotion,12_20,pointy,10,0.6130952380952381
emotion,12_20,pointy,11,0.5845238095238096
emotion,12_20,pointy,12,0.5782738095238096
emotion,12_20,streaky,1,0.6226190476190476
emotion,12_20,streaky,2,0.6327380952380952
emotion,12_20,streaky,3,0.612202380952381
